Date,S,I,R,D,beta,gamma,delta,C_e,D_e
2/10/2020,1399955363.147116,24217.843177269904,20019.746129283,947.2635772201502,0.17229395967103167,0.15133780400374588,2.4918893578582874e-05,42354,1012
2/11/2020,1399951128.2249315,24651.873973586946,23820.022467665858,947.8786270459498,0.1766496821087182,0.15998710209820435,1.8893949606606734e-05,44386,1112
2/12/2020,1399946622.28172,25032.594351223157,27941.49934465376,951.6245839000497,0.1901738949614292,0.17170289266539965,1.4441830614691901e-05,44759,1117
2/13/2020,1399941849.056175,25281.40369514328,32465.529401328487,952.0107283962734,0.1864064738721087,0.18688310233369865,1.2211263249289589e-05,59895,1369
2/14/2020,1399937517.326132,24765.03085602581,37313.35414027836,952.2888714578409,0.1568656390628225,0.200144692027616,1.0077596455299527e-05,66358,1521
2/15/2020,1399934073.473224,23277.857164873363,42244.1691303633,952.5004805762096,0.1284267558615262,0.20924462083270226,7.6036213219065346e-06,68413,1663
2/16/2020,1399931472.6272795,21150.11887598116,46973.33299135335,951.9208529935316,0.10734439838860291,0.21492910377096597,5.301959886441055e-06,70513,1766
2/17/2020,1399929486.2201076,18815.75005133931,51301.4622080558,944.5676328544328,0.09140025166923155,0.21800448608590522,3.3724859740892464e-06,72434,1864
2/18/2020,1399927979.051002,16441.024630107433,55154.66323363292,973.2611339364657,0.07949592453666528,0.21901649465637352,0.0034233151121798844,74211,2003
2/19/2020,1399926817.0252395,14166.470722860759,58498.75487759831,1065.7491598880806,0.07191467214760158,0.2184503936052726,0.008673628039378864,74619,2116
2/20/2020,1399925893.2754104,12090.34329899342,61350.56562616931,1213.8156642249842,0.06849603483190363,0.21676610714233543,0.013949907167546318,75077,2238
2/21/2020,1399925131.641149,10261.861162526604,63756.23131829892,1398.2663699575312,0.0677228382636901,0.21430979940678593,0.019167348085440034,75550,2238
2/22/2020,1399924490.777188,8684.927313300064,65770.11259383455,1602.1829047026902,0.06826447425611458,0.21132064342412185,0.02409406811639052,77001,2443
2/23/2020,1399923940.6714847,7348.359284572869,67447.08940571215,1811.8798247785194,0.06975630263670146,0.20796778696620416,0.0285571623433467,77022,2445
2/24/2020,1399923460.3107133,6228.353775201324,68841.59949303891,2017.7360184113259,0.07220414165456648,0.20440410776520637,0.03250290788705262,77241,2595
2/25/2020,1399923036.6796303,5291.246519388256,70006.2394079775,2213.8344422082996,0.07516233622469481,0.2007442844802264,0.035895475797453634,77754,2665
2/26/2020,1399922660.5479484,4510.192351574161,70980.9369393815,2396.3227603742985,0.07833434575234843,0.19706354199538728,0.03876194769394906,78166,2717
2/27/2020,1399922326.3164146,3860.9850614083607,71797.3216539916,2563.3768697541022,0.08158041818364233,0.19340882724026437,0.04112217563071879,78600,2746
2/28/2020,1399922028.787195,3321.7676290901154,72483.24759327673,2714.1975823858957,0.08482387567361782,0.189802713287736,0.042989957443484016,78928,2790
2/29/2020,1399921762.9271402,2873.3799980448684,73062.76162198937,2848.9312396101955,0.0880216371458813,0.18625144810259459,0.04438548282156033,79356,2837
3/01/2020,1399921523.8677847,2499.3590749242435,73556.10342816554,2968.669712069852,0.09115869499735224,0.18274797804158047,0.04533056691885207,79932,2872
3/02/2020,1399921307.253918,2186.1682315727376,73979.43522108773,3075.1426293071822,0.09425733386836292,0.17928010112421808,0.04584801945255865,80136,2914
3/03/2020,1399921110.6160967,1924.0241136325715,74344.08115552303,3169.2786338196324,0.09735791501823367,0.17583850807670323,0.04596634746506557,80261,2947
3/04/2020,1399920931.4131749,1704.6701782152259,74659.59593892506,3252.320707690223,0.1004702387400076,0.17242347051589482,0.0457248901011396,80386,2983
3/05/2020,1399920767.2318733,1520.9331695546666,74934.3266141641,3325.5083428929906,0.10358819481381062,0.16903221919485376,0.04516037623174658,80537,3015
3/06/2020,1399920615.8731241,1366.765214594403,75175.3597580554,3390.0019030900385,0.10670126035210735,0.16566787077865572,0.044313752757357376,80690,3044
3/07/2020,1399920475.3520718,1237.243822987489,75388.52148135914,3446.882623631541,0.10981180020733457,0.1623253438915812,0.043215711142653046,80770,3072
3/08/2020,1399920343.900237,1128.5670918865517,75578.38034304655,3497.152327809135,0.11292484961749802,0.15900041579644553,0.04189507539553726,80823,3100
3/09/2020,1399920220.206513,1037.4640138402215,75748.65773984985,3541.671733096738,0.11604714147991776,0.1556886542720686,0.04037843057374457,80860,3123
3/10/2020,1399920103.0778227,961.3838837753206,75902.4019756665,3581.136317567347,0.11918507116239413,0.15238693003496548,0.03869079868473882,80887,3139
3/11/2020,1399919991.2547097,898.3837033945571,76042.18349686718,3616.1780898411916,0.12234561578952582,0.14909339576453837,0.03685576651308763,80921,3161
